r0	M_star	flux_peb	M_em_fact	M_init	M_trans	t_trans	t_moon	t_e3
1.0	0.5	100	1.0	4.8389015e-05	0.0002487350268242733	887.531919651817	18845.232139213946	2890.515035089782
1.0	0.5	100	0.5	2.4194508e-05	0.0002487350268242733	2049.7849623711445	21243.305568149994	4748.087477779892
1.0	0.5	100	0.1	4.8389015e-06	0.0002487350268242733	7528.059974711484	28466.923306073553	11383.718452655075
1.0	0.5	50	2.0	9.677803e-05	0.0002487350268242733	300.8393484619477	26931.016017046128	1737.3575507833739
1.0	0.5	50	1.0	4.8389015e-05	0.0002487350268242733	931.4745572689288	30057.391326631187	3295.837410274171
1.0	0.5	50	0.5	2.4194508e-05	0.0002487350268242733	2207.735542158348	33267.95852939196	5548.094925367758
1.0	0.5	50	0.1	4.8389015e-06	0.0002487350268242733	8808.85108463483	42736.6317868451	13953.488991764945
1.0	0.5	20	2.0	9.677803e-05	0.0002487350268242733	305.679484634248	47332.681825569955	1858.1965593768828
1.0	0.5	20	1.0	4.8389015e-05	0.0002487350268242733	960.8082900895778	52001.11245642878	3635.3475047936495
1.0	0.5	20	0.5	2.4194508e-05	0.0002487350268242733	2319.4021727237655	56440.25145284989	6265.079135702841
1.0	0.5	20	0.1	4.8389015e-06	0.0002487350268242733	9868.004341088576	68695.0306836687	16410.73939109143
1.0	0.3	200	2.0	6.6768339e-05	0.000445941997641276	2103.8885282681163	15371.137370818904	3948.0964312839865
1.0	0.3	200	1.0	3.338417e-05	0.000445941997641276	3950.868894680144	17665.39723245929	6092.959568702744
1.0	0.3	200	0.5	1.6692085e-05	0.000445941997641276	6296.465777163597	20255.362149060216	8608.099401804824
1.0	0.3	200	0.1	3.338417e-06	0.000445941997641276	12285.920186563526	26484.35634656813	14767.353718271084
1.0	0.3	100	2.0	6.6768339e-05	0.000445941997641276	2545.6894676248867	26992.958946648123	5456.243588912499
1.0	0.3	100	1.0	3.338417e-05	0.000445941997641276	5008.007528302225	30343.740966969493	8543.712636231552
1.0	0.3	100	0.5	1.6692085e-05	0.000445941997641276	8259.283392349493	34077.707894493724	12150.757147027402
1.0	0.3	100	0.1	3.338417e-06	0.000445941997641276	17751.20822100803	43994.19029622644	21997.46567117315
1.0	0.3	50	2.0	6.6768339e-05	0.000445941997641276	2888.3628257286664	46486.18608155325	7123.494329652398
1.0	0.3	50	1.0	3.338417e-05	0.000445941997641276	5922.516852578624	51182.25135086403	11316.601063850914
1.0	0.3	50	0.5	1.6692085e-05	0.000445941997641276	10047.367099967567	56225.84694207418	16116.769207759446
1.0	0.3	50	0.1	3.338417e-06	0.000445941997641276	23484.292898150066	70539.44264617795	30282.3028478796
1.0	0.3	20	2.0	6.6768339e-05	0.000445941997641276	3170.7959795431525	91621.92627148463	9194.173637635875
1.0	0.3	20	1.0	3.338417e-05	0.000445941997641276	6766.260957693845	98568.47223227384	14901.922906077682
1.0	0.3	20	0.5	1.6692085e-05	0.000445941997641276	11792.3472387581	105526.37282032153	21233.64936424097
1.0	0.3	20	0.1	3.338417e-06	0.000445941997641276	29808.49051244678	125592.88426007851	40825.661258095504
1.0	0.1	200	2.0	2.9995962e-05	0.0015651638512310742	26935.63166390525	38538.28472910474	24250.70658944125
1.0	0.1	200	1.0	1.4997981e-05	0.0015651638512310742	31087.226419404215	42690.23707656584	28400.66717640407
1.0	0.1	200	0.5	7.4989905e-06	0.0015651638512310742	34476.740213992285	46079.72815185819	31789.55895443554
1.0	0.1	200	0.1	1.4997981e-06	0.0015651638512310742	40316.32758050052	51919.05602815693	37628.577832446776
1.0	0.1	100	2.0	2.9995962e-05	0.0015651638512310742	47097.86017995928	69992.93374129426	41856.9285045922
1.0	0.1	100	1.0	1.4997981e-05	0.0015651638512310742	54471.126564382386	77366.60192870774	49226.93369534915
1.0	0.1	100	0.5	7.4989905e-06	0.0015651638512310742	60683.80710879654	83578.8726659734	55438.366540556955
1.0	0.1	100	0.1	1.4997981e-06	0.0015651638512310742	72115.79035446473	95009.7170977818	66869.53631674683
1.0	0.1	50	2.0	2.9995962e-05	0.0015651638512310742	79450.2636357602	124376.20157446754	69343.66679168698
1.0	0.1	50	1.0	1.4997981e-05	0.0015651638512310742	91665.0328029393	136592.8511978261	81549.8309535754
1.0	0.1	50	0.5	7.4989905e-06	0.0015651638512310742	102320.36448534987	147247.4579113585	92201.68226525359
1.0	0.1	50	0.1	1.4997981e-06	0.0015651638512310742	123808.45845636078	168732.27275287276	113686.95076009222
