r0	M_star	flux_peb	M_em_fact	M_init	M_trans	t_trans	t_moon	t_e3
0.5	0.1	50	2.0	8.9214141e-06	0.00047698902642948483	21403.28769268811	64323.19942685837	28741.13807411275
0.5	0.1	50	1.0	4.4607071e-06	0.00047698902642948483	26094.64463047572	69027.72169221568	33449.41046954899
0.5	0.1	50	0.5	2.2303535e-06	0.00047698902642948483	30896.861080354156	73835.79106390846	38260.259425464836
0.5	0.1	50	0.1	4.4607071e-07	0.00047698902642948483	46714.82323210806	89662.79589791737	54093.03062345604
0.5	0.1	20	2.0	8.9214141e-06	0.00047698902642948483	32342.66559794507	134400.99238991606	48530.55874096268
0.5	0.1	20	1.0	4.4607071e-06	0.00047698902642948483	38029.78984444361	140133.74268433385	54267.51658111688
0.5	0.1	20	0.5	2.2303535e-06	0.00047698902642948483	43428.969790518684	145342.6367047895	59638.91959149047
0.5	0.1	20	0.1	4.4607071e-07	0.00047698902642948483	60391.75660497621	162339.2103622753	76643.20730269529
1.0	1.0	200	2.0	0.00016001203	0.00011264259996303087	0.0	3142.0087878870004	296.8352524601671
1.0	1.0	200	1.0	8.0006016e-05	0.00011264259996303087	23.594919516659626	4158.747196021333	593.215875123934
1.0	1.0	200	0.5	4.0003008e-05	0.00011264259996303087	167.67417152429684	5285.081689374647	1101.915001713992
1.0	1.0	200	0.1	8.0006016e-06	0.00011264259996303087	1679.9716893760171	8715.126544922598	3586.2596340579944
1.0	1.0	100	2.0	0.00016001203	0.00011264259996303087	0.0	4316.891142373471	308.79272560722654
1.0	1.0	100	1.0	8.0006016e-05	0.00011264259996303087	23.82802242335945	5776.053848967444	631.1535002238406
1.0	1.0	100	0.5	4.0003008e-05	0.00011264259996303087	172.33563502967326	7321.35185825502	1201.267071535983
1.0	1.0	100	0.1	8.0006016e-06	0.00011264259996303087	1801.1472770046767	11688.112316525214	4069.101854796826
1.0	1.0	50	2.0	0.00016001203	0.00011264259996303087	0.0	5558.043934648791	315.2702983177619
